1000013, 9.5557, 8.6951, 5.1474
1000089, 7.560, 4.934, 11.066
1000084, 7.61, 7.42, 9.47
1000018, 9.812, 11.1410, 11.443
1000079, 6.7550, 9.1026, 17.0808
1000006, 10.9300, 12.7162, 15.7085
1000092, 21.576, 7.6081, 32.865
1000014, 9.5391, 8.6752, 5.1385
1000029, 7.82927, 7.82927, 5.70757
1000047, 18.25099, 8.814, 5.181
1000027, 5.182, 7.893, 6.506
1000063, 4.252, 4.252, 4.252
1000097, 6.1791, 8.8786, 6.1655
1000072, 5.659, 7.578, 12.623
1000015, 9.5270, 8.6587, 5.1306
1000017, 4.7606, 4.7606, 12.994
1000024, 8.99280, 11.2809, 5.48116
1000005, 11.217, 8.1775, 19.887
1000096, 20.440, 20.440, 20.440
1000054, 3.142, 3.142, 4.766
1000090, 7.4059, 12.8771, 20.4282
1000008, 9.7377, 8.9151, 5.2494
1000043, 5.462, 5.462, 5.462
1000071, 13.335, 4.080, 3.8362
1000044, 4.79, 4.79, 4.79
1000019, 12.1194, 10.2869, 12.5048
1000020, 8.0566, 17.754, 13.083
1000003, 7.9661, 9.205, 7.3198
1000032, 4.76050, 4.76050, 12.9956
1000026, 3.08, 3.08, 3.52
1000037, 8.884, 5.458, 7.153
1000080, 6.8064, 9.2567, 17.732
1000093, 3.9041, 4.0397, 5.6473
1000088, 7.585, 4.965, 11.116
1000081, 6.8182, 9.291, 17.631
1000058, 4.4968, 4.4968, 3.1049
1000036, 5.33, 9.18, 28.85
1000057, 4.1570, 4.1570, 4.1570
1000010, 9.6341, 8.7948, 5.1926
1000007, 9.7397, 8.9174, 5.2503
1000023, 7.9296, 9.3275, 6.2555
1000091, 8.6633, 8.6633, 16.5252
1000074, 8.7590, 8.7280, 12.8956
1000061, 5.062, 8.671, 4.713
1000028, 8.875, 8.875, 8.875
1000040, 5.588, 14.61, 5.380
1000095, 13.723, 6.314, 16.139
1000077, 7.276, 12.480, 7.364
1000062, 4.7380, 4.7380, 3.1865
1000064, 4.8195, 10.4788, 6.0873
1000021, 19.967, 7.5484, 9.1666
1000056, 5.970, 8.125, 10.480
1000085, 7.418, 25.670, 14.624
1000051, 5.487, 5.487, 9.156
1000053, 4.217, 4.217, 4.217
1000070, 5.1562, 5.1562, 13.664
1000004, 9.899, 11.729, 12.259
1000065, 2.4, 2.4, 33.4
1000025, 5.0125, 5.0125, 3.9873
1000098, 18.303, 5.3122, 9.4200
1000022, 5.380, 5.440, 7.639
1000009, 9.6808, 8.8488, 5.2180
1000002, 6.341, 16.880, 5.7798
1000030, 3.82030, 3.88548, 11.68349
1000041, 5.6, 5.6, 5.6
1000068, 4.6819, 4.6819, 9.2757
1000083, 7.613, 7.431, 9.482
1000075, 6.9109, 6.9109, 4.3557
1000060, 9.429, 9.636, 3.591
1000099, 7.416, 13.082, 9.483
1000049, 5.947, 5.947, 8.375
1000059, 4.7554, 4.7554, 12.9910
1000078, 7.425, 12.835, 7.563
1000033, 5.3126, 8.8958, 6.4284
1000048, 7.6850, 7.6850, 5.0636
1000087, 9.7490, 9.7490, 9.7490
1000046, 5.593, 3.645, 22.45599
1000016, 9.5164, 8.6449, 5.1246
1000076, 10.2679, 10.2679, 18.373
1000045, 3.5862, 3.5862, 4.8801
1000086, 9.8614, 9.8614, 9.8614
1000067, 4.6664, 17.4435, 4.9941
1000050, 3.634, 3.634, 3.634
1000012, 9.5731, 8.7197, 5.1580
1000039, 15.263, 15.263, 15.263
1000000, 7.8783, 10.46890, 16.0680
1000031, 3.8402, 3.8708, 27.2309
1000055, 4.157597, 4.15759, 4.15759
1000094, 7.130, 4.791, 8.825
1000038, 5.345, 9.258, 10.222
1000042, 5.189, 8.995, 20.09698
1000034, 8.173, 12.869, 14.165
1000073, 8.7885, 8.7685, 12.958
1000052, 9.5027, 9.5027, 7.8212
1000066, 3.841, 3.883, 11.671
1000035, 9.699, 8.844, 5.272
1000001, 48.48, 21.72, 10.74
1000011, 9.6135, 8.7695, 5.1813
1000069, 4.6818, 4.6818, 9.2754
1000082, 12.075, 6.972, 10.214
