1000013, 2008
1000089, 1988
1000084, 1989
1000018, 2002
1000079, 1988
1000006, None
1000092, 1990
1000014, 2008
1000029, 1984
1000047, 1995
1000027, 1958
1000063, 1930
1000097, 1990
1000072, 1989
1000015, 2008
1000017, 1985
1000024, 1999
1000005, None
1000096, 1990
1000054, 1967
1000090, 1990
1000008, 2008
1000043, 1971
1000071, 1988
1000044, 1948
1000019, 2002
1000020, 2001
1000003, 2001
1000032, 1990
1000026, 1971
1000037, 1967
1000080, 1988
1000093, 1990
1000088, 1988
1000081, 1988
1000058, 1997
1000036, 1938
1000057, 1986
1000010, 2008
1000007, 2008
1000023, None
1000091, 1990
1000074, 1989
1000061, 1967
1000028, 1984
1000040, 1972
1000095, 1990
1000077, 1987
1000062, 1971
1000064, 1981
1000021, 2001
1000056, 1981
1000085, 1989
1000051, 1976
1000053, 1979
1000070, 1988
1000004, None
1000065, 1966
1000025, 1992
1000098, 1990
1000022, 1996
1000009, 2008
1000002, 2001
1000030, 1988
1000041, 1965
1000068, 1988
1000083, 1989
1000075, 1989
1000060, 1972
1000099, 1991
1000049, 1980
1000059, 1994
1000078, 1987
1000033, 1971
1000048, 1992
1000087, 1988
1000046, 1997
1000016, 2008
1000076, 1989
1000045, 1957
1000086, 1988
1000067, 1988
1000050, 1981
1000012, 2008
1000039, 1975
1000000, 2000
1000031, 1991
1000055, None
1000094, 1990
1000038, 1990
1000042, 1963
1000034, 1971
1000073, 1989
1000052, 1986
1000066, 1988
1000035, 1969
1000001, None
1000011, 2008
1000069, 1988
1000082, 1989
