1000000, ACTA CRYSTALLOGRAPHICA, SECTION C
1000001, None
1000002, JOURNAL OF SOLID STATE CHEMISTRY
1000003, POWDER DIFFRACTION
1000004, None
1000005, None
1000006, PERSONAL COMMUNICATION TO COD
1000007, AMERICAN MINERALOGIST
1000008, AMERICAN MINERALOGIST
1000009, AMERICAN MINERALOGIST
1000010, AMERICAN MINERALOGIST
1000011, AMERICAN MINERALOGIST
1000012, AMERICAN MINERALOGIST
1000013, AMERICAN MINERALOGIST
1000014, AMERICAN MINERALOGIST
1000015, AMERICAN MINERALOGIST
1000016, AMERICAN MINERALOGIST
1000017, PHYSICA STATUS SOLIDI, SECTIO A: APPLIED RESEARCH
1000018, ACTA CRYSTALLOGRAPHICA, SECTION C
1000019, ACTA CRYSTALLOGRAPHICA, SECTION C
1000020, ACTA CRYSTALLOGRAPHICA, SECTION C: CRYSTAL STRUCTURE COMMUNICATIONS
1000021, ACTA CRYSTALLOGRAPHICA, SECTION C
1000022, CANADIAN MINERALOGIST
1000023, None
1000024, ACTA CRYSTALLOGRAPHICA, SECTION C
1000025, JOURNAL OF ALLOYS AND COMPOUNDS
1000026, J. APPL. CHEM. USSR, ENGL. TRANS.
1000027, ACTA CRYSTALLOGRAPHICA (1,1948-23,1967)
1000028, ACTA CRYSTALLOGRAPHICA, SECTION B: STRUCTURAL SCIENCE
1000029, JOURNAL OF MATERIALS SCIENCE
1000030, PHYSICAL REVIEW, SERIE 3. B - CONDENSED MATTER (18,1978-)
1000031, ACTA CRYSTALLOGRAPHICA SECTION C
1000032, JOURNAL OF APPLIED CRYSTALLOGRAPHY
1000033, AMERICAN MINERALOGIST
1000034, ZEITSCHRIFT FUER KRISTALLOGRAPHIE, KRISTALLGEOMETRIE, KRISTALLPHYSIK,KRISTALLCHEMIE (-144,1977)
1000035, MINERALOGICAL SOCIETY OF AMERICA: SPECIAL PAPERS
1000036, AMERICAN MINERALOGIST
1000037, AMERICAN MINERALOGIST
1000038, AMERICAN MINERALOGIST
1000039, ACTA CRYSTALLOGRAPHICA B (24,1968-38,1982)
1000040, ACTA CRYSTALLOGRAPHICA B (24,1968-38,1982)
1000041, ACTA CRYSTALLOGRAPHICA (1,1948-23,1967)
1000042, COMPTES RENDUS HEBDOMADAIRES DES SEANCES DE LACADEMIE DES SCIENCES(1884 - 1965)
1000043, JOURNAL OF PHYSICS C
