1000000, ACTA CRYSTALLOGRAPHICA, SECTION C
1000044, JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
1000045, JOURNAL OF CHEMICAL PHYSICS
1000046, ZEITSCHRIFT FUER KRISTALLOGRAPHIE (149,1979-)
1000047, PHYSICS AND CHEMISTRY OF MINERALS (GERMANY)
1000048, PHYSICS AND CHEMISTRY OF MINERALS (GERMANY)
1000049, ACTA CRYSTALLOGRAPHICA B (24,1968-38,1982)
1000050, FORTSCHRITTE DER MINERALOGIE
1000051, ACTA CRYSTALLOGRAPHICA B (24,1968-38,1982)
1000052, AMERICAN MINERALOGIST
1000053, PROCEEDINGS OF THE JAPAN ACADEMY, SERIES B: PHYSICAL AND BIOLOGICAL SCIENCES
1000054, NEUES JAHRBUCH FUER MINERALOGIE. MONATSHEFTE (BAND=JAHR) (1950-)
1000055, None
1000056, JOURNAL OF THE LESS COMMON METALS
1000057, KRISTALLOGRAFIYA
1000058, ACTA CRYSTALLOGRAPHICA, SECTION B
1000059, JOURNAL OF THE AMERICAN CERAMIC SOCIETY
1000060, ACTA CRYSTALLOGRAPHICA B (24,1968-38,1982)
1000061, ZEITSCHRIFT FUER KRISTALLOGRAPHIE, KRISTALLGEOMETRIE, KRISTALLPHYSIK, KRISTALLCHEMIE (-144,1977)
1000062, ACTA CRYSTALLOGRAPHICA B (24,1968-38,1982)
1000063, ZEITSCHRIFT FUER PHYSIK
1000064, ACTA CRYSTALLOGRAPHICA B (24,1968-38,1982)
1000065, PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON, SERIES A: MATHEMATICAL AND PHYSICAL SCIENCES
1000066, PHYSICA C (AMSTERDAM) (152,1988-)
1000067, MATERIALS RESEARCH BULLETIN
1000068, MATERIALS RESEARCH BULLETIN
1000069, MATERIALS RESEARCH BULLETIN
1000070, MATERIALS RESEARCH BULLETIN
1000071, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000072, JOURNAL OF SOLID STATE CHEMISTRY
1000073, JOURNAL OF SOLID STATE CHEMISTRY
1000074, JOURNAL OF SOLID STATE CHEMISTRY
1000075, JOURNAL OF SOLID STATE CHEMISTRY
1000076, JOURNAL OF SOLID STATE CHEMISTRY
1000077, REVUE DE CHIMIE MINERALE
1000078, REVUE DE CHIMIE MINERALE
1000079, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000080, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000081, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000082, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000083, EUROPEAN JOURNAL OF SOLID STATE AND INORGANIC CHEMISTRY
1000084, EUROPEAN JOURNAL OF SOLID STATE AND INORGANIC CHEMISTRY
1000085, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000086, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000087, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000088, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000089, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000090, JOURNAL OF SOLID STATE CHEMISTRY
1000091, JOURNAL OF SOLID STATE CHEMISTRY
1000092, JOURNAL OF SOLID STATE CHEMISTRY
1000093, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000094, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000095, JOURNAL OF SOLID STATE CHEMISTRY
1000096, JOURNAL OF SOLID STATE CHEMISTRY
1000097, PHYSICA B: CONDENSED MATTER
1000098, EUROPEAN JOURNAL OF SOLID STATE INORGANIC CHEMISTRY
1000099, ACTA CRYSTALLOGRAPHICA C (39,1983-)
